Preamble,Status,w1,w2,w3,a1,a2,a3,Pressure,Temperature,GPS Fix,Latitude,Longitude,Elevation,Speed,Number of Satellites,UTC Time,UTC Date,Timestamp
JUPITER,0,2.7862637042999268,-2.037950038909912,-1.129766821861267,-0.00579833984375,0.00048828125,-0.96533203125,93186.2109375,32.290000915527344,1,-21.96391487121582,-47.48579788208008,665.7000122070312,0.5189999938011169,8,204520,180224,650265
JUPITER,0,2.8091518878936768,-1.7556623220443726,-1.053472876548767,-0.00640869140625,0.00390625,-0.973876953125,93184.734375,32.279998779296875,1,-21.96391487121582,-47.48579788208008,665.7000122070312,0.5189999938011169,8,204520,180224,650265
JUPITER,0,2.8625576496124268,-1.6946271657943726,-1.053472876548767,-0.00408935546875,0.0052490234375,-0.976318359375,93399.328125,33.779998779296875,1,-21.96391487121582,-47.48579788208008,665.7000122070312,0.5189999938011169,8,204520,180224,650577
JUPITER,0,2.8396694660186768,-1.7327741384506226,-1.076361060142517,-0.00384521484375,0.0040283203125,-0.9759521484375,93188.3125,32.290000915527344,1,-21.96391487121582,-47.48579788208008,665.7000122070312,0.09200000017881393,8,204520,180224,650577
JUPITER,0,2.9769985675811768,-1.6869977712631226,-1.091619849205017,-0.01055908203125,0.0003662109375,-0.986083984375,93184.734375,32.279998779296875,1,-21.96391487121582,-47.48579788208008,665.4000244140625,0.09200000017881393,8,204521,180224,650577
JUPITER,0,2.8015224933624268,-1.8319562673568726,-1.114508032798767,-0.00604248046875,-0.0010986328125,-0.964599609375,93179.84375,32.290000915527344,1,-21.96391487121582,-47.48579788208008,665.4000244140625,0.09200000017881393,8,204521,180224,650577
JUPITER,0,3.0838100910186768,-2.030320644378662,-1.076361060142517,-0.00213623046875,0.002685546875,-0.9810791015625,93183.984375,32.279998779296875,1,-21.96391487121582,-47.48579788208008,665.4000244140625,0.09200000017881393,8,204521,180224,650577
JUPITER,0,2.8015224933624268,-1.9311383962631226,-1.137396216392517,-0.00177001953125,0.0045166015625,-0.9755859375,93192.6015625,32.29999923706055,1,-21.96391487121582,-47.48579788208008,665.4000244140625,0.09200000017881393,8,204521,180224,650577
JUPITER,0,2.9846279621124268,-1.6946271657943726,-1.015325903892517,-0.00799560546875,0.004638671875,-0.9830322265625,93184.890625,32.29999923706055,1,-21.96391487121582,-47.48579788208008,665.4000244140625,0.09200000017881393,8,204521,180224,650577
JUPITER,0,2.9159634113311768,-1.7022565603256226,-1.083990454673767,-0.01177978515625,0.0,-0.98095703125,93402.90625,33.779998779296875,1,-21.96391487121582,-47.485801696777344,665.4000244140625,0.09200000017881393,8,204521,180224,650843
JUPITER,0,4.983529090881348,15.822463035583496,1.159051537513733,0.23858642578125,0.14794921875,-1.0233154296875,93159.59375,32.22999954223633,1,-21.96391487121582,-47.485801696777344,665.4000244140625,0.09200000017881393,8,204521,180224,650843
JUPITER,0,2.3513882160186768,14.601759910583496,-1.831671118736267,0.08990478515625,0.1259765625,-1.00341796875,93165.234375,32.22999954223633,1,-21.96391487121582,-47.485801696777344,665.4000244140625,0.503000020980835,8,204521,180224,650843
JUPITER,0,1.9317715167999268,18.43171501159668,-2.4496521949768066,0.00909423828125,0.0716552734375,-0.7928466796875,93174.4375,32.22999954223633,1,-21.96391487121582,-47.485801696777344,665.0,0.503000020980835,8,204522,180224,650843
JUPITER,0,0.5432217121124268,9.627394676208496,-0.5957092046737671,-0.07855224609375,0.0172119140625,-1.0042724609375,93170.875,32.22999954223633,1,-21.96391487121582,-47.485801696777344,665.0,0.503000020980835,8,204522,180224,650843
JUPITER,0,2.1072475910186768,-8.568711280822754,-0.2447570562362671,-0.08990478515625,0.6025390625,-1.0462646484375,93172.9375,32.220001220703125,1,-21.96391487121582,-47.485801696777344,665.0,0.503000020980835,8,204522,180224,650843
JUPITER,0,8.752449989318848,-1.7098859548568726,-2.3199524879455566,0.23663330078125,1.02508544921875,-1.1212158203125,93169.546875,32.2400016784668,1,-21.96391487121582,-47.485801696777344,665.0,0.503000020980835,8,204522,180224,650843
JUPITER,0,0.8331387042999268,5.286268711090088,-11.315008163452148,-1.36944580078125,1.02508544921875,-0.8985595703125,93384.609375,33.790000915527344,1,-21.96391487121582,-47.485801696777344,665.0,0.503000020980835,8,204522,180224,651073
JUPITER,0,3.9840786457061768,-11.483139991760254,-2.4267640113830566,-1.97198486328125,1.02508544921875,-0.8092041015625,93016.703125,31.639999389648438,1,-21.96391487121582,-47.485801696777344,665.0,0.503000020980835,8,204522,180224,651073
JUPITER,0,15.649422645568848,3.264479160308838,18.2641544342041,-0.55999755859375,1.02508544921875,-1.241455078125,92979.828125,31.360000610351562,1,-21.96391487121582,-47.485801696777344,665.0,0.503000020980835,8,204522,180224,651073
