index,preamble,w_x,w_y,w_z,a_x,a_y,a_z,pressure,temperature,gpsFix,latitude,longitude,elevation,speed,numbSat,UTCTime,UTCDate,timeStamp
1,JUPITER,3.25232791900634,-1.72389936447143,1.1679892539978,-0.7513427734375,7.861083984375,0.573974609375,86711.359375,39.4500007629394,2,32.939167022705,-106.91145324707,1393.40002441406,0.0359999984502792,12,153123,200624,2202221
2,JUPITER,2.27576541900634,-3.18874311447143,2.4192099571228,-0.7728271484375,7.866943359375,0.614013671875,86713.265625,39.4599990844726,2,32.939167022705,-106.91145324707,1393.40002441406,0.0359999984502792,12,153123,200624,2202221
3,JUPITER,0.963509559631347,-2.85304975509643,2.8159384727478,-0.5931396484375,7.844482421875,0.967529296875,86713.875,39.4700012207031,2,32.939167022705,-106.91145324707,1393.40002441406,0.0359999984502792,12,153123,200624,2202221
4,JUPITER,2.97766971588134,-3.58547163009643,2.7243857383728,-0.3997802734375,7.885498046875,1.114013671875,86712.625,39.4599990844726,2,32.939167022705,-106.91145324707,1393.40002441406,0.0260000005364418,12,153123,200624,2202221
5,JUPITER,4.71717166900634,-4.47048139572143,2.2055869102478,-0.3978271484375,7.860107421875,1.040771484375,86714.53125,39.4700012207031,2,32.939167022705,-106.91145324707,1393.19995117187,0.0260000005364418,12,153124,200624,2202221
6,JUPITER,2.94715213775634,-2.97512006759643,2.1140341758728,-0.6800537109375,7.858154296875,1.051513671875,86709.890625,39.4599990844726,2,32.939167022705,-106.91145324707,1393.19995117187,0.0260000005364418,12,153124,200624,2202705
7,JUPITER,3.28284549713134,7.37033891677856,1.4121298789978,-0.3831787109375,7.860107421875,0.612060546875,86717.484375,39.4500007629394,2,32.939167022705,-106.91145324707,1393.19995117187,0.0260000005364418,12,153124,200624,2202705
8,JUPITER,1.14661502838134,6.45481157302856,1.2900595664978,-0.4730224609375,7.846435546875,0.724365234375,86712,39.4500007629394,2,32.939167022705,-106.91145324707,1393.19995117187,0.0260000005364418,12,153124,200624,2202705
9,JUPITER,3.55750370025634,5.78342485427856,1.0154013633728,-0.5902099609375,7.870849609375,0.747802734375,86718.109375,39.4599990844726,2,32.939167022705,-106.91145324707,1393.19995117187,0.0260000005364418,12,153124,200624,2202705
10,JUPITER,1.66541385650634,4.44065141677856,1.0459189414978,-0.6722412109375,7.814208984375,0.819091796875,86713.265625,39.4599990844726,2,32.939167022705,-106.91145324707,1393.19995117187,0.0260000005364418,12,153124,200624,2202705
11,JUPITER,1.57386112213134,0.0461202263832092,2.6633505821228,-0.9476318359375,7.886474609375,0.860107421875,86707.140625,39.4599990844726,2,32.939167022705,-106.91145324707,1393.19995117187,0.0260000005364418,12,153124,200624,2202705
12,JUPITER,3.03870487213134,4.65427446365356,2.4192099571228,-0.5325927734375,7.849365234375,1.099365234375,86709.046875,39.4700012207031,2,32.939167022705,-106.91145324707,1393.19995117187,0.0260000005364418,12,153124,200624,2202705
13,JUPITER,4.19837284088134,-11.1843481063842,2.8464560508728,-0.7659912109375,7.863037109375,0.854248046875,86714.53125,39.4700012207031,2,32.939167022705,-106.91145324707,1393.19995117187,0.0260000005364418,12,153124,200624,2202923
14,JUPITER,2.67249393463134,3.83029985427856,2.9685263633728,-0.5452880859375,7.892333984375,0.745849609375,86717.484375,39.4500007629394,2,32.939167022705,-106.91145324707,1393.19995117187,0.0260000005364418,12,153124,200624,2202923
15,JUPITER,1.60437870025634,5.08152055740356,2.2055869102478,-0.5032958984375,7.848388671875,1.048583984375,86723.6015625,39.4599990844726,2,32.939167022705,-106.91145324707,1393.19995117187,0.0260000005364418,12,153124,200624,2202923
16,JUPITER,3.19129276275634,4.10495805740356,2.5717978477478,-0.5111083984375,7.880615234375,0.982177734375,86720.859375,39.4599990844726,2,32.939167022705,-106.91145324707,1393.19995117187,0.0260000005364418,12,153124,200624,2202923
17,JUPITER,3.74060916900634,2.42649126052856,2.3581748008728,-0.5804443359375,7.839599609375,1.033935546875,86720.015625,39.4700012207031,2,32.939167022705,-106.91145324707,1393.19995117187,0.0260000005364418,12,153124,200624,2202923
18,JUPITER,3.43543338775634,-0.22853797674179,1.5647177696228,-0.6839599609375,7.824951171875,0.796630859375,86711.78125,39.4700012207031,2,32.939167022705,-106.91145324707,1393.19995117187,0.0260000005364418,12,153124,200624,2202923
19,JUPITER,3.61853885650634,4.95945024490356,1.2595419883728,-0.4544677734375,7.838623046875,0.838623046875,86720.015625,39.4700012207031,2,32.939167022705,-106.91145324707,1393.30004882812,0.0260000005364418,12,153126,200624,2203176
20,JUPITER,3.71009159088134,3.49460649490356,0.679708003997802,-0.5208740234375,7.911865234375,1.041748046875,86717.484375,39.4500007629394,2,32.939167022705,-106.91145324707,1393.30004882812,0.0260000005364418,12,153126,200624,2203176
21,JUPITER,1.57386112213134,3.95237016677856,-0.296854496002197,-0.7366943359375,7.902099609375,0.856201171875,86712,39.4500007629394,2,32.939167022705,-106.91145324707,1393.30004882812,0.0260000005364418,12,153126,200624,2203176
22,JUPITER,1.02454471588134,1.99924516677856,0.282979488372802,-1.0355224609375,7.836669921875,1.313232421875,86716.0078125,39.4599990844726,2,32.939167022705,-106.91145324707,1393.30004882812,0.0260000005364418,12,153126,200624,2203176
23,JUPITER,5.90735721588134,0.656471788883209,2.2971396446228,-1.0257568359375,7.886474609375,0.960693359375,86719.359375,39.4700012207031,2,32.939167022705,-106.91145324707,1393.30004882812,0.0260000005364418,12,153126,200624,2203176
